sexo_cliente,region_cliente,nacionalidad_cliente,direccion_cliente,edad_cliente,codigo_cliente,nombre_cliente,numero_hijos_cliente,puntos_acumulados_cliente,estado_civil_cliente,total_compras_cliente,fecha_nacimiento_cliente,profesion_cliente
Empresa,Norte-Europa,Reino-Unido,27-Rose-Street--Liverpool-L69-7HY,83,2490412B,Brenda-Fereser,NULL,53,NULL,29,1935-03-02,Servicios
Hombre,Norteamerica,Estados-Unidos,113-Nassau-St -New-York--NY-10011,51,3407878P,Payne-Edward,0,9,Soltero/a,7,1967-09-26,Doctores-&-Profesionales-de-la-Salud
Mujer,Norte-Europa,Reino-Unido,11-Square-de-Chatillon---75003-Paris,98,3014668B,Brigham-Dorothy,2,16,Casado/a,17,1920-05-12,Economistas-Abogados-&-Admin.Empresas
Hombre,Norte-Europa,Reino-Unido,27-Rue-de-Gergovie---75001-Paris,81,3801139K,King-Lewis,0,11,Soltero/a,11,1937-05-19,Gerentes-&-Directivos
Mujer,Norte-Europa,Reino-Unido,35---37-St.-Stephens-Gardens--London-EC1,82,3407916M,Mckean-Agatha,2,9,Soltero/a,10,1936-05-29,Gerentes-&-Directivos
Hombre,Sur-Europa,Espana,Via-De'Cerretani--10--Florencia,46,3538999M,Montoro-Ortiz-Xavi,0,10,Soltero/a,1,1972-08-31,Ama-de-Casa
Empresa,Norte-Europa,Reino-Unido,Bryanston-Street--London-EC1,55,0852002A,Allah,NULL,15,NULL,11,1963-07-02,Catering
Hombre,Norteamerica,Estados-Unidos,7341-Collins-Ave -Miami--FL-33013,77,0065564S,Skydel-Henry,0,6,Soltero/a,7,1941-04-05,Economistas-Abogados-&-Admin.Empresas
Empresa,Norte-Europa,Reino-Unido,160-Rue-du-Chateau---75001-Paris,39,1507391M,Mahant,NULL,41,NULL,26,1979-09-10,Catering
Empresa,Sur-Europa,Espana,Corso-Buenos-Aires-18 --Milano,96,0720927S,Subs-Taberna,NULL,6,NULL,5,1922-11-01,Alimentacion
Hombre,Norteamerica,Estados-Unidos,17-E-River-Piers -New-York--NY-10017,69,0065588G,Griffin-William,0,15,Soltero/a,15,1949-11-09,Gerentes-&-Directivos
Hombre,Sur-Europa,Espana,via-E.-Giulioli--13-Roma,55,2031651S,Soto-Ros-FranciscoJavier,0,7,Casado/a,7,1963-08-05,Gerentes-&-Directivos
Hombre,Sur-Europa,Espana,Benifallim-23-08020-Barcelona,97,3538958L,Lopez-Martin-Raul,4,9,Viudo/a,5,1921-03-30,Economistas-Abogados-&-Admin.Empresas
Mujer,Norte-Europa,Reino-Unido,166-Boulevard-Berthier---75001-Paris,42,1966143W,Walsh-Dorothy,0,10,Soltero/a,1,1976-08-26,Economistas-Abogados-&-Admin.Empresas
Hombre,Sur-Europa,Espana,Banyeres-34-08010-Barcelona,68,4063282M,Molina-Escriche-Eusebio,0,14,Casado/a,12,1950-02-13,Doctores-&-Profesionales-de-la-Salud
Hombre,Norteamerica,Estados-Unidos,512-SW-3rd-Ave -Miami--FL-33022,72,3801100B,Burton-Grant,3,6,Divorciado/a,4,1946-09-03,Gerentes-&-Directivos
Empresa,Norteamerica,Estados-Unidos,17-E-River-Piers -New-York--NY-10010,49,2555928V,Village,NULL,10,NULL,10,1969-09-24,Servicios
Hombre,Sur-Europa,Espana,Via-Fabio-Filzi--3 --Milano,42,0458802R,Rovira-Soriano-Xavi,0,6,Soltero/a,7,1976-11-16,Economistas-Abogados-&-Admin.Empresas
Hombre,Norte-Europa,Reino-Unido,Direccion--London-SW1,73,1376276H,Humphrey-Arthur,2,15,Casado/a,17,1945-04-13,Gerentes-&-Directivos
Empresa,Norte-Europa,Reino-Unido,1-Percy-Street-(Tottenham-Court-Rd.)--London-SW1,47,0589858T,Tagi,NULL,20,NULL,9,1971-12-29,Catering
Mujer,Norte-Europa,Reino-Unido,56-Curzon-Street-(Green-Park)--London-W2,90,3866639Y,Youngman-Agatha,2,6,Casado/a,6,1928-05-12,Economistas-Abogados-&-Admin.Empresas
Hombre,Sur-Europa,Espana,Alcalde-Evarist-Botella-85-08019-Barcelona,71,0720907T,Torrent-Leon-David,0,5,Soltero/a,8,1947-06-29,Gerentes-&-Directivos
Hombre,Sur-Europa,Espana,Via-del-Biscione--76-Roma,46,2162727O,Olivares-Pelaez-Nestor,0,6,Soltero/a,3,1972-05-13,Economistas-Abogados-&-Admin.Empresas
Hombre,Norte-Europa,Reino-Unido,35-Kensington-High-St.-(High-St.-Kensington)--London-SW1,83,2031624G,Grove-Arthur,0,6,Casado/a,3,1935-07-09,Doctores-&-Profesionales-de-la-Salud
Mujer,Norte-Europa,Reino-Unido,Residenzstr.-21--Munchen,59,1376316W,Warburton-Esther,3,15,Casado/a,14,1959-10-03,Gerentes-&-Directivos
Hombre,Norte-Europa,Reino-Unido,15-Rue-Delambre---75015-Paris,80,2752527E,Efemey-Edgar,2,5,Divorciado/a,4,1938-10-04,Economistas-Abogados-&-Admin.Empresas
Hombre,Sur-Europa,Espana,Ballesta--5--Madrid-28034,104,1703950P,Porta-Santamaria-Francisco,0,7,Soltero/a,9,1914-10-10,Doctores-&-Profesionales-de-la-Salud
Hombre,Sur-Europa,Espana,V.lo-Savelli-10--Milano,45,3473433G,Guardiola-Gracia-Daniel,3,6,Casado/a,9,1973-11-20,Gerentes-&-Directivos
Empresa,Norteamerica,Estados-Unidos,66-Mott-St -New-York--NY-10013,51,2031670C,Calla,NULL,12,NULL,7,1967-12-21,Servicios
Hombre,Norte-Europa,Reino-Unido,Schulstrasse-9--Munchen,52,0983102B,Barney-Cristopher,4,9,Divorciado/a,2,1966-08-30,Economistas-Abogados-&-Admin.Empresas
Empresa,Norteamerica,Estados-Unidos,960-NW-41st-St -Miami-Beach--FL-33027,81,0589847D,Devil-House,NULL,17,NULL,7,1937-11-23,Alimentacion
Mujer,Norte-Europa,Reino-Unido,15-Great-Castle-Street--London-NW1,66,2621452B,Bush-Olivia,0,10,Soltero/a,14,1952-07-07,Architectos-Decoradores-&-Humanistas
Hombre,Norteamerica,Estados-Unidos,812-NW-1st-St -Fort-Lauderdale--FL-33025,48,3735561S,Shepherd-Lewis,2,6,Casado/a,6,1970-02-12,Architectos-Decoradores-&-Humanistas
Mujer,Sur-Europa,Espana,Carrer-A-83-08014-Barcelona,96,2883618T,Torrent-Leon-Itziar,0,7,Divorciado/a,0,1923-01-11,Ingenieros-&-Especialistas
Hombre,Norte-Europa,Reino-Unido,Coram-Street--London-EC1,63,1703977C,Coleman-Henry,3,7,Divorciado/a,5,1955-08-18,Gerentes-&-Directivos
Empresa,Sur-Europa,Espana,Bernat-Fenollar-50-08024-Barcelona,43,2359346T,Tampura-Steakhouse,NULL,11,NULL,14,1975-03-23,Alimentacion
Mujer,Sur-Europa,Espana,Via-Ludovico-Ariosto-22 --Milano,41,3604505B,Ballester-Cano-Susana,0,6,Soltero/a,1,1977-03-26,Economistas-Abogados-&-Admin.Empresas
Mujer,Sur-Europa,Espana,Via-San-Gallo-107r--Florencia,92,1048599M,Marques-Acereda-Pilar,2,7,Casado/a,7,1926-12-12,Doctores-&-Profesionales-de-la-Salud
Mujer,Norte-Europa,Reino-Unido,147-ter-Rue-d'Alesia---75003-Paris,72,3211276B,Bolan-Eileen,0,11,Soltero/a,2,1946-04-17,Ingenieros-&-Especialistas
Mujer,Sur-Europa,Espana,Via-Sistina--42-Roma,45,0327715C,Callejo-Valls-Ines,0,6,Casado/a,8,1973-03-12,Architectos-Decoradores-&-Humanistas
Hombre,Norte-Europa,Reino-Unido,Brook-Street--Mayfair--London-SW1,68,2883629W,Warmick-Henry,3,5,Divorciado/a,4,1950-05-28,Ama-de-Casa
Mujer,Norteamerica,Estados-Unidos,159-1st-St -Hoboken--NJ-10015,89,3670068B,Brigham-Eileen,3,5,Casado/a,4,1929-12-24,Ingenieros-&-Especialistas
Mujer,Sur-Europa,Espana,Gran-Via--15--4o-Dcha.--Madrid-28034,79,3670051S,Serralta-Rodrigo-Ines,0,9,Casado/a,16,1939-07-05,Gerentes-&-Directivos
Mujer,Norte-Europa,Reino-Unido,1-bis-Rue-du-Maine---75002-Paris,81,1900566M,Marrion-Emily,0,16,Soltero/a,14,1937-08-25,Gerentes-&-Directivos
Hombre,Norte-Europa,Reino-Unido,202-Rue-de-Rivoli---75015-Paris,77,2359339F,Force-Daniel,0,8,Soltero/a,4,1941-07-29,Gerentes-&-Directivos
Mujer,Norteamerica,Estados-Unidos,300-71-St -Miami--FL-33026,55,2031620A,Appleton-Agatha,0,9,Soltero/a,12,1963-01-24,Economistas-Abogados-&-Admin.Empresas
Hombre,Norteamerica,Estados-Unidos,62-Greenwich-Ave -New-York--NY-10018,40,0983055S,Shepherd-Alfred,0,9,Soltero/a,8,1978-09-22,Gerentes-&-Directivos
Hombre,Norte-Europa,Reino-Unido,Hohenzollernstr.-37--Munchen,59,2818098L,Lights-Nicholas,3,7,Casado/a,8,1959-06-28,Doctores-&-Profesionales-de-la-Salud
Hombre,Norteamerica,Estados-Unidos,7625-Byron-Ave -Miami--FL-33011,60,3342339C,Calder-David,3,15,Divorciado/a,11,1958-09-16,Ingenieros-&-Especialistas
Mujer,Norte-Europa,Reino-Unido,61-Gloucester-Road--London-EC3,69,0000047S,Sawyer-Deborah,4,13,Casado/a,18,1949-12-14,Gerentes-&-Directivos
Mujer,Sur-Europa,Espana,Corso-Magenta-61 --Milano,77,2818096S,Soto-Ros-Patricia,2,7,Divorciado/a,0,1941-02-17,Gerentes-&-Directivos
Mujer,Norte-Europa,Reino-Unido,1-New-Street-Sq.-(Blackfiars)--London-SW1,70,0524289M,Mcgraw-Judith,3,11,Divorciado/a,11,1948-11-09,Ingenieros-&-Especialistas
Hombre,Norteamerica,Estados-Unidos,100-SW-18th-Ave -Fort-Lauderdale--FL-33035,90,0131096O,Oxley-Adrian,1,5,Divorciado/a,9,1929-01-07,Architectos-Decoradores-&-Humanistas
Mujer,Sur-Europa,Espana,Via-Veneto--155-Roma,100,1769491M,Molina-Escriche-Julia,0,9,Casado/a,3,1918-07-06,Economistas-Abogados-&-Admin.Empresas
Mujer,Norteamerica,Estados-Unidos,190-W-44th-St -New-York--NY-10016,43,0131116M,Mckean-Jacqueline,0,9,Soltero/a,11,1975-12-09,Doctores-&-Profesionales-de-la-Salud
Hombre,Norte-Europa,Reino-Unido,53-Ross-Street--Liverpool-L69-7HY,76,0917547B,Bell-David,0,10,Soltero/a,7,1942-10-19,Architectos-Decoradores-&-Humanistas
Hombre,Norte-Europa,Reino-Unido,Courtprince-Albert-Road--London-W2,41,1048590S,Skydel-Arthur,0,13,Soltero/a,6,1977-07-13,Architectos-Decoradores-&-Humanistas
Hombre,Sur-Europa,Espana,via-Vicenza--8-Roma,58,1507377M,Mariscal-Ordonez-Raul,0,10,Casado/a,14,1960-09-07,Architectos-Decoradores-&-Humanistas
Mujer,Sur-Europa,Espana,Via-Cadibona-2/A --Milano,46,2162747S,Soto-Ros-Beatriz,2,6,Casado/a,4,1972-03-11,Architectos-Decoradores-&-Humanistas
Hombre,Norteamerica,Estados-Unidos,132-2nd-Ave -New-York--NY-10004,78,2621441A,Aedy-Daniel,3,15,Casado/a,17,1940-07-02,Ingenieros-&-Especialistas
Mujer,Sur-Europa,Espana,Caseta-Corbi-83-08030-Barcelona,48,1703961E,Espina-Castillo-Patricia,1,12,Soltero/a,13,1970-08-19,Architectos-Decoradores-&-Humanistas
Empresa,Norte-Europa,Reino-Unido,157-Charing-Cross-Road--London-NW1,65,0393224E,East-Restaurant,NULL,34,NULL,18,1953-06-21,Alimentacion
Hombre,Norteamerica,Estados-Unidos,15-Ann-St-#-4 -New-York--NY-10016,69,1441805G,Green-Thomas,3,7,Casado/a,5,1949-06-16,Ingenieros-&-Especialistas
Mujer,Sur-Europa,Espana,Barranc-Del-Cint-21-08014-Barcelona,51,2752563E,Espada-Benegas-Patricia,0,8,Soltero/a,0,1967-11-27,Architectos-Decoradores-&-Humanistas
Hombre,Sur-Europa,Espana,via-Aurelia--738-Roma,71,3866673C,Callejo-Valls-Eusebio,2,7,Casado/a,5,1948-01-13,Ingenieros-&-Especialistas
Empresa,Norte-Europa,Reino-Unido,35-Avenue-Raymond-Poincare---75015-Paris,96,4128796M,Mexican-Taberna,NULL,19,NULL,11,1922-11-16,Alimentacion
Mujer,Norte-Europa,Reino-Unido,Liebergesellstr.8--Munchen,73,0393238W,Wiffort-Caroline,1,9,Divorciado/a,7,1945-10-24,Ingenieros-&-Especialistas
Hombre,Norte-Europa,Reino-Unido,18-Wilton-Row--Belgravia--London-SW1,75,2818056P,Porter-Alexander,2,7,Divorciado/a,8,1943-12-07,Gerentes-&-Directivos
Hombre,Sur-Europa,Espana,Jaume-El-Conqueridor-67-08026-Barcelona,66,0524342M,Montoro-Ortiz-Nestor,2,17,Divorciado/a,15,1952-04-14,Architectos-Decoradores-&-Humanistas
Hombre,Norte-Europa,Reino-Unido,52-Victoria-Street--London-NW1,107,2752545H,Holdsworth-Donald,0,5,Casado/a,2,1911-04-25,Ama-de-Casa
Hombre,Norte-Europa,Reino-Unido,9-Rue-du-Sommerard---75002-Paris,61,0262203C,Chellew-Gregory,0,17,Soltero/a,6,1957-04-27,Economistas-Abogados-&-Admin.Empresas
Mujer,Sur-Europa,Espana,via-Gaeta--12-Roma,43,3866648C,Castro-Morales-Pilar,0,8,Soltero/a,12,1975-08-06,Ingenieros-&-Especialistas
Mujer,Sur-Europa,Espana,Via-Scarlatti--33 --Milano,58,0393254R,Roca-Sacristan-Andrea,3,7,Divorciado/a,14,1960-07-24,Gerentes-&-Directivos
Hombre,Sur-Europa,Espana,via-A.-Ferrara--33-Roma,65,1966101M,Marques-Acereda-Ignacio,0,14,Soltero/a,17,1953-02-27,Economistas-Abogados-&-Admin.Empresas
Mujer,Norte-Europa,Reino-Unido,Herzogstr.-1B--Munchen,71,2162707L,Lights-Eileen,3,9,Divorciado/a,2,1947-06-05,Architectos-Decoradores-&-Humanistas
Hombre,Norte-Europa,Reino-Unido,Royal-Exchange--Cornhill-(Bank)--London-SW1,56,3735558A,Ashton-Arthur,0,12,Divorciado/a,8,1962-03-02,Gerentes-&-Directivos
Hombre,Sur-Europa,Espana,Via-Felice-Casati-18 --Milano,39,1179668D,Diez-Duran-Jose,0,8,Soltero/a,4,1979-09-17,Doctores-&-Profesionales-de-la-Salud
Mujer,Norteamerica,Estados-Unidos,688-10th-Ave -New-York--NY-10009,69,4128790P,Payne-Jane,0,9,Soltero/a,7,1949-11-17,Gerentes-&-Directivos
Mujer,Sur-Europa,Espana,C/-Provenza-21-08033-Barcelona,59,1900548P,Puertas-Alquezar-Ines,2,10,Casado/a,15,1959-04-20,Economistas-Abogados-&-Admin.Empresas
Hombre,Norte-Europa,Reino-Unido,12-Berkeley-Square--London-SW1,66,2687001A,Ashton-Jhon,0,7,Casado/a,0,1952-05-04,Architectos-Decoradores-&-Humanistas
Mujer,Norteamerica,Estados-Unidos,812-NW-1st-St -Fort-Lauderdale--FL-33025,80,2621479G,Grubb-Flora,4,8,Casado/a,7,1938-05-08,Architectos-Decoradores-&-Humanistas
Hombre,Sur-Europa,Espana,Tutor--37--Madrid-28019,103,1507331P,Pascual-Pastor-Narciso,1,11,Divorciado/a,11,1915-09-16,Gerentes-&-Directivos
Hombre,Norteamerica,Estados-Unidos,438-E-9th-St -New-York--NY-10005,43,0655372A,Aedy-Alexander,0,21,Soltero/a,23,1975-04-23,Economistas-Abogados-&-Admin.Empresas
Mujer,Sur-Europa,Espana,Via-Nino-Bixio-4/a --Milano,80,0327733T,Torrent-Leon-Emilia,0,8,Casado/a,5,1938-07-07,Gerentes-&-Directivos
Empresa,Sur-Europa,Espana,Els-Filadors-84-08033-Barcelona,87,3932200D,Diner-Cafe,NULL,7,NULL,9,1931-06-18,Alimentacion
Mujer,Sur-Europa,Espana,Gaztambide--61--Madrid-28020,54,3473451C,Callejo-Valls-Monica,2,8,Casado/a,5,1964-06-17,Architectos-Decoradores-&-Humanistas
Mujer,Norteamerica,Estados-Unidos,359-Columbus-Ave -New-York--NY-10009,45,0786435L,Langford-Agatha,3,10,Viudo/a,3,1973-10-19,Gerentes-&-Directivos
Hombre,Sur-Europa,Espana,Via-Poliziano-11 --Milano,74,0000054M,Munoz-Nunez-Lorenzo,0,10,Soltero/a,4,1944-08-19,Ingenieros-&-Especialistas
Hombre,Norte-Europa,Reino-Unido,Kreuzkapellenstr.-88--Munchen,75,1638431W,Warburton-Gregory,4,8,Casado/a,13,1943-02-26,Gerentes-&-Directivos
Hombre,Norteamerica,Estados-Unidos,62-Chelsea-Piers-#-200a -New-York--NY-10004,72,0196615L,Langford-Brian,0,10,Soltero/a,4,1946-11-07,Gerentes-&-Directivos
Empresa,Norteamerica,Estados-Unidos,1825-NE-185th-St -Miami--FL-33030,60,1179691G,Grand-House,NULL,84,NULL,28,1958-01-30,Alimentacion
Mujer,Sur-Europa,Espana,Juan-Ramon-Jimenez--8--Madrid-28023,62,0983077F,Ferrero-Bautista-Beatriz,0,8,Soltero/a,6,1956-04-03,Gerentes-&-Directivos
Hombre,Norteamerica,Estados-Unidos,21-University-Pl -New-York--NY-10004,67,0524314L,Lights-Alfred,0,14,Divorciado/a,20,1951-08-24,Economistas-Abogados-&-Admin.Empresas
Empresa,Sur-Europa,Espana,Ventura-de-la-Vega--16-2o--Madrid-28022,49,3014690P,Pasta-Restaurant,NULL,10,NULL,5,1969-02-02,Alimentacion
Mujer,Norte-Europa,Reino-Unido,41-Buckingham-Gate--London-NW1,49,0524338G,Griffin-Deborah,2,8,Divorciado/a,5,1969-06-17,Gerentes-&-Directivos
Hombre,Sur-Europa,Espana,Piazza-della-Repubblica-20 --Milano,55,3735605V,Velazquez-Vico-Valentin,1,10,Divorciado/a,18,1963-12-28,Ingenieros-&-Especialistas
Mujer,Norte-Europa,Reino-Unido,372-The-Strand--London-WC2E-8QH,55,1835055M,Mckay-Jane,1,11,Casado/a,7,1963-03-26,Doctores-&-Profesionales-de-la-Salud
Mujer,Sur-Europa,Espana,via-delle-Carrozze--93-Roma,59,1245199G,Garcia-Rojo-Leire,2,8,Divorciado/a,9,1959-02-25,Economistas-Abogados-&-Admin.Empresas
Hombre,Norteamerica,Estados-Unidos,272-Court-St -Brooklyn--NY-10015,95,1966118L,Locklin-Gerald,0,10,Divorciado/a,17,1923-07-21,Economistas-Abogados-&-Admin.Empresas
Hombre,Norte-Europa,Reino-Unido,35-Turnbull-Street--Liverpool-L69-3BX,50,1769531M,Mackenzie-Arthur,0,7,Soltero/a,2,1968-10-15,Ingenieros-&-Especialistas
Hombre,Norteamerica,Estados-Unidos,111-W-42nd-St -New-York--NY-10016,53,0327730Y,Youngman-Charles,0,9,Soltero/a,7,1965-02-06,Doctores-&-Profesionales-de-la-Salud
Empresa,Sur-Europa,Espana,via-Cavour--47-Roma,46,3473460A,African-stress,NULL,10,NULL,14,1972-09-01,Servicios
Mujer,Sur-Europa,Espana,via-Saturnia--18--Milano,39,0786475B,Bosch-Perez-Cecilia,0,9,Soltero/a,3,1979-12-22,Gerentes-&-Directivos
Hombre,Sur-Europa,Espana,Piazza-Oberdan-12 --Milano,58,1245208R,Roca-Sacristan-Enrique,0,8,Soltero/a,7,1960-03-07,Doctores-&-Profesionales-de-la-Salud
Hombre,Norte-Europa,Reino-Unido,Landsberger-Strasse-20--Munchen,60,1835044M,Mcguire-Edgar,0,8,Divorciado/a,3,1958-01-31,Architectos-Decoradores-&-Humanistas
