"0262151A","Alan Jennifer ","Mujer",19360216,"Casado/a ","24 Rue de Bassano , 75003 Paris ","Doctores & Profesionales de la Salud",0,"Norte Europa","Reino Unido ",0,6
"0327686M","Marqués Acereda Tomás ","Hombre ",19610524,"Casado/a ","Viale Machiavelli, 18 ,Florencia","Architectos,Decoradores & Humanistas",1,"Sur Europa","España",13,8
"0327687H","Holmes Elisabeth","Mujer",19570101,"Divorciado/a ","4-6 Sussex Place ,London EC1","Doctores & Profesionales de la Salud",0,"Norte Europa","Reino Unido ",20,22
"0393220A","Adams Donald","Hombre ",19170211,"Divorciado/a ","125 Dawes Road ,London SW1","Economistas,Abogados & Admin.Empresas ",3,"Norte Europa","Reino Unido ",11,12
"0393221B","Burr Emily","Mujer",19710311,"Divorciado/a ","2 Penn Plz Fl 25  New York, NY 10015","Ingenieros & Especialistas",0,"Norteamérica","Estados Unidos",5,5
"0458756F","Ferrero Bautista Narciso","Hombre ",19650811,"Casado/a ","Costera Del Gurugú 41 08026 Barcelona ","Architectos,Decoradores & Humanistas",2,"Sur Europa","España",8,7
"0458757S","Sales Hugh","Hombre ",19521221,"Casado/a ","48 Norfolk Court/Crescent ,Liverpool L70 2DH","Doctores & Profesionales de la Salud",3,"Norte Europa","Reino Unido ",0,6
"0393222T","Thornton Tony ","Hombre ",19590405,"Divorciado/a ","1528 NE 152nd Ter  Miami, FL 33013","Gerentes & Directivos ",2,"Norteamérica","Estados Unidos",21,28
"0393223C","Coconut ","Empresa",19260321,,"via Clitunno, 9 Roma","Servicios ",,"Sur Europa","España",15,17
"0458758M","Morris Judith ","Mujer",19691207,"Casado/a ","224 Piccadilly ,London W2 ","Architectos,Decoradores & Humanistas",1,"Norte Europa","Reino Unido ",9,10
"0458759D","Dickinson Denis ","Hombre ",19720308,"Divorciado/a ","48 Barrow St # 1014  New York, NY 10010 ","Gerentes & Directivos ",3,"Norteamérica","Estados Unidos",3,11
"0000008M","Mills Elisabeth ","Mujer",19350213,"Casado/a ","250 Mulberry St  New York, NY 10017 ","Economistas,Abogados & Admin.Empresas ",1,"Norteamérica","Estados Unidos",9,13
"0000009C","Calvo Alonso Ernesto","Hombre ",19770108,"Soltero/a","Corso Buenos Aires 18 , Milano","Gerentes & Directivos ",0,"Sur Europa","España",7,8
"0065544M","Mateo Mir Raúl","Hombre ",19590930,"Casado/a ","Via F Aprile 11, Piazza Repubblica , Milano ","Gerentes & Directivos ",2,"Sur Europa","España",14,13
"0065545M","Mackenzie Brian ","Hombre ",19460802,"Casado/a ","26 Rue Pierre Lescot , 75003 Paris","Gerentes & Directivos ",0,"Norte Europa","Reino Unido ",6,12
"0000010B","Bance David ","Hombre ",19360212,"Viudo/a","35 St. James'S Place ,London EC3","Gerentes & Directivos ",3,"Norte Europa","Reino Unido ",3,6
"0000011M","Marrion Charles ","Hombre ",19610127,"Casado/a ","Augustenstr. 21, München","Ama de Casa ",1,"Norte Europa","Reino Unido ",7,7
"0065546M","Martí Márquez Eva ","Mujer",19531114,"Casado/a ","Via Di Novoli, 59 ,Florencia","Economistas,Abogados & Admin.Empresas ",2,"Sur Europa","España",7,8
"0065547T","Thornton Eve","Mujer",19480329,"Soltero/a","Schillerstrasse 24, München ","Gerentes & Directivos ",0,"Norte Europa","Reino Unido ",8,8
"0131080T","Tavern Restaurant ","Empresa",19400129,,"Tibi 28 08018 Barcelona ","Alimentación",,"Sur Europa","España",9,9
"0131081C","Cady","Empresa",19760718,,"Mauricio Ravel, 10, Madrid 28022","Servicios ",,"Sur Europa","España",11,13
"0196616S","Spencer Andrew","Hombre ",19560218,"Soltero/a","12 West Street ,Liverpool L69 2DH ","Architectos,Decoradores & Humanistas",0,"Norte Europa","Reino Unido ",12,9
"0196617D","Diner Restaurant","Empresa",19370904,,"33 Trevobir Road ,London EC3","Alimentación",,"Norte Europa","Reino Unido ",22,22
"0131082S","Salas Figueroa Mauricio ","Hombre ",19670802,"Casado/a ","Corso Europa 9 , Milano ","Doctores & Profesionales de la Salud",0,"Sur Europa","España",6,7
"0131083A","Alvarez Arenas Marcos ","Hombre ",19410804,"Soltero/a","via delle Carrozze, 36 Roma ","Ingenieros & Especialistas",0,"Sur Europa","España",8,7
"0196618H","Howard Caroline ","Mujer",19510621,"Soltero/a","114-117 Crawford St ,London NW1 ","Architectos,Decoradores & Humanistas",0,"Norte Europa","Reino Unido ",4,9
"0196619N","Nowles","Empresa",19571115,,"C/ Espronceda 14 08029 Barcelona","Servicios ",,"Sur Europa","España",10,8
"0000012T","Taylor Caroline ","Mujer",19491227,"Soltero/a","40 Peck Slip  New York, NY 10012","Architectos,Decoradores & Humanistas",0,"Norteamérica","Estados Unidos",10,11
"0000013t","tala","Empresa",19660612,,"4-5 Duke Of York Street ,London SW1 ","Catering",,"Norte Europa","Reino Unido ",9,13
"0065548M","Mclean Deborah","Mujer",19700508,"Soltero/a","30 Connaught Street, (Marble Arch) ,London SW1","Gerentes & Directivos ",0,"Norte Europa","Reino Unido ",2,7
"0065549A","Alvarez Arenas Daniel ","Hombre ",19220101,"Divorciado/a ","Alcala, 66, Madrid 28010","Doctores & Profesionales de la Salud",1,"Sur Europa","España",3,9
"0000014B","Bell Joseph ","Hombre ",19670820,"Casado/a ","110 Great Russell Street ,London EC1","Doctores & Profesionales de la Salud",2,"Norte Europa","Reino Unido ",10,9
"0000015M","Mills Caroline","Mujer",19610507,"Casado/a ","26 Pell St  New York, NY 10011","Doctores & Profesionales de la Salud",4,"Norteamérica","Estados Unidos",4,8
"0065550P","Piqueras Nieto Luis ","Hombre ",19390812,"Casado/a ","Cronista Jordán 19 08028 Barcelona","Doctores & Profesionales de la Salud",1,"Sur Europa","España",10,8
"0065551A","Aguado Blas Sergio","Hombre ",19221203,"Soltero/a","via Rasella, 29 Roma","Doctores & Profesionales de la Salud",0,"Sur Europa","España",9,10
"0131084M","Magico Bar","Empresa",19210212,,"190 Bleecker St  New York, NY 10012 ","Alimentación",,"Norteamérica","Estados Unidos",9,13
"0131085L","López Martín Maria del Pilar","Mujer",19780119,"Soltero/a","Via Gasparotto 8 , Milano ","Ingenieros & Especialistas",0,"Sur Europa","España",0,7
"0196620E","Efemey Emily","Mujer",19581128,"Divorciado/a ","2 Stanhope Row ,London EC3","Economistas,Abogados & Admin.Empresas ",3,"Norte Europa","Reino Unido ",15,21
"0196621D","Dickinson Donald","Hombre ",19550129,"Soltero/a","23 Conduit Street ,London SW1 ","Architectos,Decoradores & Humanistas",0,"Norte Europa","Reino Unido ",9,11
"0131086S","Sales Eileen","Mujer",19461127,"Soltero/a","78 Pearl St  New York, NY 10004 ","Gerentes & Directivos ",0,"Norteamérica","Estados Unidos",11,14
"0131087M","Montoro Ortiz Javier","Hombre ",19780215,"Soltero/a","Via Baracchini 12 , Milano","Gerentes & Directivos ",0,"Sur Europa","España",8,7
"0196622C","Carloine","Empresa",19510611,,"C/ Palencia 85 08010 Barcelona","Servicios ",,"Sur Europa","España",0,7
"0196623C","Coleman Edgar ","Hombre ",19410407,"Divorciado/a ","33 Rue Raymond Losserand/td> , 75001 Paris","Gerentes & Directivos ",0,"Norte Europa","Reino Unido ",1,10
"0262152C","California Taberna","Empresa",19521226,,"Sant Joan De Ribera 55 08015 Barcelona","Alimentación",,"Sur Europa","España",8,6
"0262153V","Victor's","Empresa",19470914,,"via Francesco Crispi, 55/a Roma ","Servicios ",,"Sur Europa","España",23,42
"0327688W","Wilkinson Eileen","Mujer",19351222,"Soltero/a","17 E River Piers  New York, NY 10017","Gerentes & Directivos ",0,"Norteamérica","Estados Unidos",7,7
"0327689N","Navarro Rodríguez Elena ","Mujer",19720206,"Casado/a ","Benicadell 35 08019 Barcelona ","Gerentes & Directivos ",2,"Sur Europa","España",4,6
"0262154M","Mcgraw Brian","Hombre ",19330818,"Soltero/a","158 Lawrence St  Brooklyn, NY 10015 ","Architectos,Decoradores & Humanistas",0,"Norteamérica","Estados Unidos",3,10
"0262155J","Jones Helen ","Mujer",19470503,"Soltero/a","1305 Madison Ave  New York, NY 10009","Economistas,Abogados & Admin.Empresas ",0,"Norteamérica","Estados Unidos",5,7
"0327690E","Espina Castillo Jordi ","Hombre ",19490918,"Divorciado/a ","Ezpoz y Mina, 4-6, 2º Dcha., Madrid 28022 ","Gerentes & Directivos ",0,"Sur Europa","España",8,9
"0327691C","Cortile Restaurant","Empresa",19510130,,"Industrial Sant Benet 37 08022 Barcelona","Alimentación",,"Sur Europa","España",12,13
"0393224E","East Restaurant ","Empresa",19530621,,"157 Charing Cross Road ,London NW1","Alimentación",,"Norte Europa","Reino Unido ",18,34
"0393225K","Kenney Elisabeth","Mujer",19791223,"Soltero/a","Ashley Lane ,London EC1 ","Architectos,Decoradores & Humanistas",0,"Norte Europa","Reino Unido ",9,9
"0458760C","Camille ","Empresa",19480708,,"2300 Pine Tree Dr  Miami, FL 33020","Servicios ",,"Norteamérica","Estados Unidos",18,19
"0458761W","Wood Elisabeth","Mujer",19360709,"Divorciado/a ","3-5 Mill Street ,London W2","Gerentes & Directivos ",2,"Norte Europa","Reino Unido ",2,6
"0393226W","Walsh Alfred","Hombre ",19451230,"Divorciado/a ","90 Park Ln. (Marble Arch) ,London SW1 ","Doctores & Profesionales de la Salud",2,"Norte Europa","Reino Unido ",3,6
"0393227W","Walsh Ernest","Hombre ",19690404,"Viudo/a","76 South Parade ,London W2","Ingenieros & Especialistas",2,"Norte Europa","Reino Unido ",18,18
"0458762S","Sanz Ruiz MiguelÁngel ","Hombre ",19461020,"Casado/a ","via di S. Prisca, 11/b Roma ","Ama de Casa ",2,"Sur Europa","España",9,7
"0458763A","Archer Denis","Hombre ",19170124,"Soltero/a","1 Rue d'Argentine , 75003 Paris ","Ingenieros & Especialistas",1,"Norte Europa","Reino Unido ",14,14
"0262156D","Docherty Eileen ","Mujer",19690720,"Divorciado/a ","Hochbrückenstr. 3, München","Gerentes & Directivos ",3,"Norte Europa","Reino Unido ",3,9
"0262157A","All 4U","Empresa",19661020,,"via Cavour, 47 Roma ","Servicios ",,"Sur Europa","España",11,16
"0327692S","Shannon Charles ","Hombre ",19711018,"Soltero/a","40 St Matthew'S Road ,London NW1","Doctores & Profesionales de la Salud",0,"Norte Europa","Reino Unido ",10,10
"0327693P","Payne Nicholas","Hombre ",19790207,"Soltero/a","Theresienstr., München","Economistas,Abogados & Admin.Empresas ",0,"Norte Europa","Reino Unido ",0,9
"0262158D","Docherty Andrew ","Hombre ",19630408,"Casado/a ","48 Blythswood Street ,Liverpool L69 3BX ","Doctores & Profesionales de la Salud",2,"Norte Europa","Reino Unido ",6,10
"0262159S","Salas Figueroa Julia","Mujer",19250629,"Divorciado/a ","Gran Vía, 12, 4º, Madrid 28020","Gerentes & Directivos ",2,"Sur Europa","España",2,8
"0327694M","Mackintosh Cristopher ","Hombre ",19671016,"Soltero/a","7-9 St James Street ,London NW1 ","Ama de Casa ",0,"Norte Europa","Reino Unido ",5,8
"0327695P","Porter Mary ","Mujer",19401126,"Casado/a ","Russhill, Charlwood ,London EC1 ","Gerentes & Directivos ",3,"Norte Europa","Reino Unido ",7,10
"0393228M","Mckay Eileen","Mujer",19390706,"Soltero/a","1799 SE 17 St  Fort Lauderdale, FL 33041","Economistas,Abogados & Admin.Empresas ",0,"Norteamérica","Estados Unidos",3,5
"0393229A","Archer Jennifer ","Mujer",19350920,"Divorciado/a ","Schmellerstr. 16, München ","Ingenieros & Especialistas",2,"Norte Europa","Reino Unido ",11,11
"0458764S","Smith Brian ","Hombre ",19130726,"Casado/a ","5-7 Frognal ,London EC1 ","Ingenieros & Especialistas",2,"Norte Europa","Reino Unido ",17,22
"0458765G","Grady Cristopher","Hombre ",19380331,"Soltero/a","951 1st Ave Fl 1  New York, NY 10016","Gerentes & Directivos ",0,"Norteamérica","Estados Unidos",8,8
"0393230K","Kenney Charles","Hombre ",19710221,"Casado/a ","21 Boulevard Saint Michel , 75003 Paris ","Doctores & Profesionales de la Salud",4,"Norte Europa","Reino Unido ",11,20
"0393231S","Sales Eve ","Mujer",19630814,"Casado/a ","81 Avenue Kleber , 75015 Paris","Ingenieros & Especialistas",3,"Norte Europa","Reino Unido ",4,6
"0458766O","Oxley Grant ","Hombre ",19360801,"Soltero/a","491 1st Ave  New York, NY 10004 ","Ingenieros & Especialistas",0,"Norteamérica","Estados Unidos",4,8
"0458767V","Velázquez Vico Carlos ","Hombre ",19770626,"Soltero/a","Sant Jaume 72 08012 Barcelona ","Ingenieros & Especialistas",0,"Sur Europa","España",3,6
"0524288M","Mateo Mir Pilar ","Mujer",19410821,"Casado/a ","V. Favencia 43 08035 Barcelona","Architectos,Decoradores & Humanistas",1,"Sur Europa","España",10,7
"0524289M","Mcgraw Judith ","Mujer",19481109,"Divorciado/a ","1 New Street Sq. (Blackfiars) ,London SW1 ","Ingenieros & Especialistas",3,"Norte Europa","Reino Unido ",11,11
"0589824L","Lewis Emily ","Mujer",19460424,"Divorciado/a ","Reichenbachstr. 13, München ","Architectos,Decoradores & Humanistas",4,"Norte Europa","Reino Unido ",4,6
"0589825C","Coleman Mary","Mujer",19511219,"Soltero/a","310 Portobello Road ,London NW1 ","Gerentes & Directivos ",0,"Norte Europa","Reino Unido ",0,6
"0524290V","Vázquez Vilanova Eusebio","Hombre ",19751228,"Soltero/a","Via Vitruvio 29 · Milano, Milano","Gerentes & Directivos ",0,"Sur Europa","España",6,7
"0524291C","Casado Conesa Roberto ","Hombre ",19431206,"Soltero/a","Piazza Ognissanti, 1 ,Florencia ","Ama de Casa ",0,"Sur Europa","España",1,7
"0589826M","Molina Escriche Helena","Mujer",19550206,"Casado/a ","Sant Sebastià 40 08029 Barcelona","Gerentes & Directivos ",1,"Sur Europa","España",7,7
"0589827L","Langford Andrew ","Hombre ",19520726,"Soltero/a","1799 SE 17th St  Fort Lauderdale, FL 33020","Doctores & Profesionales de la Salud",0,"Norteamérica","Estados Unidos",6,7
"0655360P","Piqueras Nieto Alejandro","Hombre ",19790328,"Soltero/a","Borgo Pinti, 27 ,Florencia","Doctores & Profesionales de la Salud",0,"Sur Europa","España",2,7
"0655361T","Trow Alfred ","Hombre ",19551101,"Casado/a ","Leopoldstrasse 194, München ","Doctores & Profesionales de la Salud",0,"Norte Europa","Reino Unido ",13,10
"0720896G","Gasthof ","Empresa",19450325,,"11 bis Rue de la Gaîté , 75003 Paris","Servicios ",,"Norte Europa","Reino Unido ",14,40
"0720897L","Lights Deborah","Mujer",19530210,"Divorciado/a ","Aeropuerto ,London EC1","Economistas,Abogados & Admin.Empresas ",3,"Norte Europa","Reino Unido ",7,10
"0655362B","Burr Clare","Mujer",19441227,"Casado/a ","12 West Street ,Liverpool L69 2DH ","Gerentes & Directivos ",2,"Norte Europa","Reino Unido ",1,7
"0655363G","Gimeno Mas Andrea ","Mujer",19491009,"Casado/a ","C/ Rosellón 13 08015 Barcelona","Ingenieros & Especialistas",3,"Sur Europa","España",2,9
"0720898M","Marshall Lewis","Hombre ",19610306,"Divorciado/a ","35 St George'S Drive ,London EC1","Economistas,Abogados & Admin.Empresas ",3,"Norte Europa","Reino Unido ",9,11
"0720899M","Moore Tony","Hombre ",19531029,"Divorciado/a ","22 Frith Street ,London NW1 ","Doctores & Profesionales de la Salud",3,"Norte Europa","Reino Unido ",3,8
"0524292M","Mackintosh Eric ","Hombre ",19370315,"Casado/a ","St. Katharine'S Way ,London EC1 ","Gerentes & Directivos ",0,"Norte Europa","Reino Unido ",18,18
"0524293T","Torrent León Mauricio ","Hombre ",19411011,"Soltero/a","Roís De Corella 76 08024 Barcelona","Economistas,Abogados & Admin.Empresas ",0,"Sur Europa","España",0,8
"0589828H","Hill Alfred ","Hombre ",19560601,"Viudo/a","Mandeville Place ,London EC1","Architectos,Decoradores & Humanistas",0,"Norte Europa","Reino Unido ",13,14
"0589829O","O'Connor Nicholas ","Hombre ",19531214,"Casado/a ","1 Mott St  New York, NY 10007 ","Doctores & Profesionales de la Salud",0,"Norteamérica","Estados Unidos",12,8
"0524294R","Roberts Mark","Hombre ",19530730,"Casado/a ","862 2nd Ave  New York, NY 10007 ","Gerentes & Directivos ",2,"Norteamérica","Estados Unidos",15,21
"0524295H","Holmes Ernest ","Hombre ",19460514,"Divorciado/a ","49 Cowcaddens Road ,Liverpool L69 2DH ","Ama de Casa ",2,"Norte Europa","Reino Unido ",3,10
"0589830D","Delight Restaurant","Empresa",19740307,,"Via Cairoli, 29, Milano ","Alimentación",,"Sur Europa","España",6,13
"0589831M","Mills Daniel","Hombre ",19110403,"Divorciado/a ","Brook Street ,London WC2E 8QH ","Gerentes & Directivos ",3,"Norte Europa","Reino Unido ",1,5
"0655364P","Porter Gerald ","Hombre ",19660928,"Divorciado/a ","81 Brewer Street, Soho ,London W2 ","Economistas,Abogados & Admin.Empresas ",1,"Norte Europa","Reino Unido ",5,8
"0655365N","Nika","Empresa",19721217,,"C/ Berlín 14 08019 Barcelona","Catering",,"Sur Europa","España",12,8
"0720900W","Wigens Caroline ","Mujer",19350908,"Casado/a ","The Strand ,London SW1","Architectos,Decoradores & Humanistas",2,"Norte Europa","Reino Unido ",4,10
"0720901M","Morgan James","Hombre ",19661229,"Soltero/a","917 Finchley Road ,London W2","Doctores & Profesionales de la Salud",0,"Norte Europa","Reino Unido ",1,6
"0655366W","Warmick William ","Hombre ",19520411,"Soltero/a","5008 Broadway  New York, NY 10009 ","Economistas,Abogados & Admin.Empresas ",0,"Norteamérica","Estados Unidos",10,8
"0655367S","Scanlon Esther","Mujer",19421025,"Divorciado/a ","132 W 32nd St  New York, NY 10005 ","Ingenieros & Especialistas",1,"Norteamérica","Estados Unidos",10,11
"0720902S","Sánchez Noguera Mateo ","Hombre ",19700410,"Casado/a ","Sabadell 10 08025 Barcelona ","Gerentes & Directivos ",0,"Sur Europa","España",11,12
"0720903M","Mckean Grant","Hombre ",19180626,"Soltero/a","75 Cook Street ,Liverpool L70 2DH ","Economistas,Abogados & Admin.Empresas ",0,"Norte Europa","Reino Unido ",9,9
"0786432A","Adams Thomas","Hombre ",19410819,"Soltero/a","20 Castle Street ,Liverpool L69 7HY ","Doctores & Profesionales de la Salud",1,"Norte Europa","Reino Unido ",5,9
"0786433C","Cadence ","Empresa",19341223,,"21 Wellington Street ,London SW1","Servicios ",,"Norte Europa","Reino Unido ",16,11
"0851968S","Sullivan Lewis","Hombre ",19451025,"Soltero/a","Amalienstr. 42, München ","Economistas,Abogados & Admin.Empresas ",0,"Norte Europa","Reino Unido ",12,7
"0851969P","Pons Romera Gerardo ","Hombre ",19420428,"Divorciado/a ","Ibi 93 08020 Barcelona","Architectos,Decoradores & Humanistas",0,"Sur Europa","España",1,8
"0786434G","Griffin Agatha","Mujer",19670809,"Casado/a ","170-172 Sussex Gardens ,London EC1","Economistas,Abogados & Admin.Empresas ",3,"Norte Europa","Reino Unido ",8,12
